"ComputerName","Path","Status"
"pc9069","\\pc9069\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7667","\\pc7667\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7658","\\pc7658\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"sniffer1046200","\\sniffer1046200\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.2006.15027.0_x64__8wekyb3d8bbwe","Not Found"
"pc5707","\\pc5707\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8333","\\pc8333\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc14453","\\pc14453\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"PC9244","\\PC9244\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"PC8749","\\PC8749\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"PC8883","\\PC8883\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"PC8531","\\PC8531\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"PC11155","\\PC11155\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11193","\\pc11193\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6884","\\pc6884\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc14515","\\pc14515\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc13093","\\pc13093\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc5982","\\pc5982\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc15061","\\pc15061\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8593","\\pc8593\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9277","\\pc9277\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc15096","\\pc15096\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9267","\\pc9267\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8880","\\pc8880\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12537","\\pc12537\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11148","\\pc11148\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8494","\\pc8494\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7518","\\pc7518\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6210","\\pc6210\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8712","\\pc8712\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9210","\\pc9210\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.2105.4017.0_x64__8wekyb3d8bbwe","Not Found"
"pc8802","\\pc8802\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7510","\\pc7510\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11213","\\pc11213\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7514","\\pc7514\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9282","\\pc9282\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8860","\\pc8860\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8710","\\pc8710\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc14523","\\pc14523\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc13083","\\pc13083\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9286","\\pc9286\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Offline"
"pc8510","\\pc8510\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9852","\\pc9852\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9067","\\pc9067\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8723","\\pc8723\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc5669","\\pc5669\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8605","\\pc8605\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
